Host,Vcs,Project,File,Buggy,PL,IssueTracking,TLOC,TNF,TNC,TND,LOC,CL,NStmt,NFunc,RCC,MNL,avg_WMC,max_WMC,total_WMC,avg_DIT,max_DIT,total_DIT,avg_RFC,max_RFC,total_RFC,avg_NOC,max_NOC,total_NOC,avg_CBO,max_CBO,total_CBO,avg_DIT.1,max_DIT.1,total_DIT.1,avg_NIV,max_NIV,total_NIV,avg_NIM,max_NIM,total_NIM,avg_NOM,max_NOM,total_NOM,avg_NPBM,max_NPBM,total_NPBM,avg_NPM,max_NPM,total_NPM,avg_NPRM,max_NPRM,total_NPRM,avg_CC,max_CC,total_CC,avg_FANIN,max_FANIN,total_FANIN,avg_FANOUT,max_FANOUT,total_FANOUT,NRev,NFix,avg_AddedLOC,max_AddedLOC,total_AddedLOC,avg_DeletedLOC,max_DeletedLOC,total_DeletedLOC,avg_ModifiedLOC,max_ModifiedLOC,total_ModifiedLOC
gc,svn,cumberland,/trunk/cumberland/Cumberland.Data.PostGIS/AssemblyInfo.cs,clean,cs,IssueTrue,1405,15,422,1,1,6,1,1,10,3,1,1,1,1,1,5,4,4,3,9,9,9,6,1,1,1,1,5,4,6,6,2,2,2,1,1,1,3,2,3,8,8,8,8,8,9,2,2,1,3,2,2,1,2,2,9,5,3,3,2,5,4,4,4,6,5
gc,svn,cumberland,/trunk/cumberland/Cumberland.Data.SqlServer.Loader/AssemblyInfo.cs,clean,cs,IssueTrue,1405,15,422,1,1,6,1,1,10,3,1,1,1,1,1,5,4,4,3,9,9,9,6,1,1,1,1,5,4,6,6,2,2,2,1,1,1,3,2,3,8,8,8,8,8,9,2,2,1,3,2,2,1,2,2,9,9,3,3,2,5,4,4,4,6,6
gc,svn,cumberland,/trunk/cumberland/Cumberland.Data.SqlServer/AssemblyInfo.cs,clean,cs,IssueTrue,1405,15,422,1,1,6,1,1,10,3,1,1,1,1,1,5,4,4,3,9,9,9,6,1,1,1,1,5,4,6,6,2,2,2,1,1,1,3,2,3,8,8,8,8,8,9,2,2,1,3,2,2,1,2,2,9,5,3,3,2,5,4,4,4,6,5
gc,svn,cumberland,/trunk/cumberland/Cumberland.Data.SqlServer/SqlServerFeatureSource.cs,buggy,cs,IssueTrue,1405,15,422,1,8,6,7,6,4,10,9,9,8,10,10,10,8,8,7,9,9,9,10,8,7,10,10,10,9,9,9,9,9,8,8,8,8,9,9,8,8,8,8,9,9,9,9,10,8,7,8,6,8,9,7,10,5,8,9,9,9,9,9,6,9,8
gc,svn,cumberland,/trunk/cumberland/Cumberland.DrawMap/AssemblyInfo.cs,clean,cs,IssueTrue,1405,15,422,1,1,6,1,1,10,3,1,1,1,1,1,5,4,4,3,9,9,9,6,1,1,1,1,5,4,6,6,2,2,2,1,1,1,3,2,3,8,8,8,8,8,9,2,2,1,3,2,2,1,2,2,9,5,3,3,2,5,4,4,4,6,5
gc,svn,cumberland,/trunk/cumberland/Cumberland.MapToKml/AssemblyInfo.cs,clean,cs,IssueTrue,1405,15,422,1,1,6,1,1,10,3,1,1,1,1,1,5,4,4,3,9,9,9,6,1,1,1,1,5,4,6,6,2,2,2,1,1,1,3,2,3,8,8,8,8,8,9,2,2,1,3,2,2,1,2,2,8,5,3,3,2,5,4,4,5,6,5
gc,svn,cumberland,/trunk/cumberland/Cumberland.Tests/AssemblyInfo.cs,clean,cs,IssueTrue,1405,15,422,1,1,6,1,1,10,3,1,1,1,1,1,5,4,4,3,9,9,9,6,1,1,1,1,5,4,6,6,2,2,2,1,1,1,3,2,3,8,8,8,8,8,9,2,2,1,3,2,2,1,2,2,9,5,3,3,2,5,4,4,4,6,5
gc,svn,cumberland,/trunk/cumberland/Cumberland.Tests/ProjFourWrapperTests.cs,clean,cs,IssueTrue,1405,15,422,1,6,6,5,6,5,7,7,6,5,5,5,8,7,7,6,9,9,9,9,5,4,5,5,8,4,6,6,9,9,8,8,8,8,9,9,8,8,8,8,9,9,9,5,4,5,4,7,4,5,5,6,8,9,8,7,6,5,5,5,3,6,4
gc,svn,cumberland,/trunk/cumberland/Cumberland.TilePyramidGenerator/AssemblyInfo.cs,clean,cs,IssueTrue,1405,15,422,1,1,6,1,1,10,3,1,1,1,1,1,5,4,4,3,9,9,9,6,1,1,1,1,5,4,6,6,2,2,2,1,1,1,3,2,3,8,8,8,8,8,9,2,2,1,3,2,2,1,2,2,9,5,3,3,2,5,4,4,4,6,5
gc,svn,cumberland,/trunk/cumberland/cumberland/AssemblyInfo.cs,clean,cs,IssueTrue,1405,15,422,1,1,3,1,1,9,3,1,1,1,1,1,5,4,4,3,9,9,9,6,1,1,1,1,5,4,6,6,2,2,2,1,1,1,3,2,3,8,8,8,8,8,9,2,2,1,3,2,2,1,2,2,9,5,3,3,2,5,4,4,4,6,5
gc,svn,cumberland,/trunk/cumberland/cumberland/Data/Shapefile/DBaseIIIFile.cs,clean,cs,IssueTrue,1405,15,422,1,8,7,8,5,4,10,8,9,8,5,5,9,5,6,6,9,9,9,9,9,9,5,5,9,8,9,9,5,6,6,3,6,5,4,5,5,8,8,8,9,9,9,10,10,8,9,8,6,9,9,6,10,10,8,8,8,5,6,6,6,8,8
gc,svn,cumberland,/trunk/cumberland/cumberland/Data/Shapefile/Shapefile.cs,buggy,cs,IssueTrue,1405,15,422,1,9,9,9,9,5,8,10,10,9,9,9,9,8,8,7,9,9,9,10,10,9,9,9,9,10,10,10,10,9,9,9,9,9,9,9,8,8,8,8,10,10,10,9,9,10,8,9,8,7,8,9,10,10,9,10,10,8,9,9,8,9,9
gc,svn,cumberland,/trunk/cumberland/cumberland/Projection/ProjFourWrapper.cs,clean,cs,IssueTrue,1405,15,422,1,8,8,8,9,5,5,6,8,8,6,9,10,7,9,9,9,9,9,8,7,8,6,9,10,6,8,8,7,9,9,8,10,10,8,9,9,8,9,9,10,10,10,2,7,9,7,8,8,5,6,8,10,10,9,8,9,5,4,4,8,9,8
gc,svn,cumberland,/trunk/cumberland/cumberland/Rectangle.cs,buggy,cs,IssueTrue,1405,15,422,1,8,7,8,9,4,8,9,8,8,9,9,9,8,8,7,9,9,9,8,4,4,9,9,9,7,8,7,9,9,8,9,9,9,10,10,9,8,8,8,8,8,9,7,9,9,8,8,9,5,6,8,10,9,9,9,9,8,8,8,4,6,6
