Host,Vcs,Project,File,Buggy,PL,IssueTracking,TLOC,TNF,TNC,TND,LOC,CL,NStmt,NFunc,RCC,MNL,avg_WMC,max_WMC,total_WMC,avg_DIT,max_DIT,total_DIT,avg_RFC,max_RFC,total_RFC,avg_NOC,max_NOC,total_NOC,avg_CBO,max_CBO,total_CBO,avg_DIT.1,max_DIT.1,total_DIT.1,avg_NIV,max_NIV,total_NIV,avg_NIM,max_NIM,total_NIM,avg_NOM,max_NOM,total_NOM,avg_NPBM,max_NPBM,total_NPBM,avg_NPM,max_NPM,total_NPM,avg_NPRM,max_NPRM,total_NPRM,avg_CC,max_CC,total_CC,avg_FANIN,max_FANIN,total_FANIN,avg_FANOUT,max_FANOUT,total_FANOUT,NRev,NFix,avg_AddedLOC,max_AddedLOC,total_AddedLOC,avg_DeletedLOC,max_DeletedLOC,total_DeletedLOC,avg_ModifiedLOC,max_ModifiedLOC,total_ModifiedLOC
sf,cvs,geneur,geneur/geneur/Attic/ngs.cpp,clean,cpp,IssueFalse,3381,30,114,1,2,3,2,3,6,7,7,7,7,8,9,5,8,9,5,9,9,9,6,6,6,8,9,5,6,6,6,6,6,6,6,6,6,6,6,6,9,9,9,8,8,9,10,7,3,5,4,4,10,9,5,9,10,5,6,6,8,9,9,7,7,8
sf,cvs,geneur,geneur/geneur/src/core/Attic/debug.hpp,clean,cpp,IssueFalse,3381,30,114,1,3,3,3,7,4,7,8,8,8,10,10,7,9,9,6,9,9,9,6,6,7,10,10,7,9,8,8,8,8,8,8,8,8,8,8,8,9,9,9,10,9,9,7,7,5,8,9,8,4,3,3,3,5,4,4,3,4,4,4,2,2,2
sf,cvs,geneur,geneur/geneur/src/core/Attic/helper.cpp,clean,cpp,IssueFalse,3381,30,114,1,3,4,3,5,8,7,7,7,7,8,9,5,8,9,5,9,9,9,6,6,6,8,9,5,6,6,6,6,6,6,6,6,6,6,6,6,9,9,9,8,8,9,8,7,4,8,8,7,7,6,5,8,8,7,7,7,5,6,6,6,8,7
sf,cvs,geneur,geneur/geneur/src/core/Attic/helper.h,clean,cpp,IssueFalse,3381,30,114,1,1,3,1,3,9,4,7,7,7,8,9,5,8,9,5,9,9,9,6,6,6,8,9,5,6,6,6,6,6,6,6,6,6,6,6,6,9,9,9,8,8,9,2,2,2,2,2,3,3,2,2,8,8,6,6,7,4,4,4,3,5,5
sf,cvs,geneur,geneur/geneur/src/core/Attic/random.hpp,clean,cpp,IssueFalse,3381,30,114,1,2,3,2,5,7,4,7,7,7,8,9,5,8,9,5,9,9,9,6,6,6,8,9,5,6,6,6,6,6,6,6,6,6,6,6,6,9,9,9,8,8,9,6,6,3,10,10,8,7,6,4,5,5,3,4,3,4,4,4,4,5,4
sf,cvs,geneur,geneur/geneur/src/core/job.cpp,buggy,cpp,IssueFalse,3381,30,114,1,4,3,3,8,5,4,7,7,7,8,9,5,8,9,5,9,9,9,6,6,6,8,9,5,6,6,6,6,6,6,6,6,6,6,6,6,9,9,9,8,8,9,4,4,5,8,8,9,4,3,5,8,8,5,6,6,6,7,7,7,7,7
sf,cvs,geneur,geneur/geneur/src/core/job.h,buggy,cpp,IssueFalse,3381,30,114,1,2,3,2,2,7,4,8,8,8,8,9,5,9,9,6,9,9,9,8,8,8,8,9,5,9,9,8,9,9,8,9,9,8,9,9,9,10,9,9,9,9,9,2,2,2,2,2,3,3,2,2,8,8,5,6,6,5,6,6,6,7,7
sf,cvs,geneur,geneur/geneur/src/core/jobs_query.cpp,buggy,cpp,IssueFalse,3381,30,114,1,9,9,10,8,3,10,7,7,7,8,9,5,8,9,5,9,9,9,6,6,6,8,9,5,6,6,6,6,6,6,6,6,6,6,6,6,9,9,9,8,8,9,10,10,10,10,10,10,9,9,9,8,8,9,10,9,7,7,8,10,10,9
sf,cvs,geneur,geneur/geneur/src/core/jobs_query.h,buggy,cpp,IssueFalse,3381,30,114,1,3,5,3,3,7,4,10,10,10,8,9,5,9,9,6,9,9,9,8,8,9,8,9,5,8,8,9,8,9,8,8,9,8,8,8,8,10,10,10,9,9,9,4,4,2,10,9,7,5,2,2,8,8,8,9,8,8,8,8,6,7,7
sf,cvs,geneur,geneur/geneur/src/core/keywords.cpp,buggy,cpp,IssueFalse,3381,30,114,1,7,5,6,9,4,10,7,7,7,8,9,5,8,9,5,9,9,9,6,6,6,8,9,5,6,6,6,6,6,6,6,6,6,6,6,6,9,9,9,8,8,9,9,10,8,8,8,9,6,9,8,7,9,4,4,5,7,7,7,7,7,7
sf,cvs,geneur,geneur/geneur/src/core/keywords.h,buggy,cpp,IssueFalse,3381,30,114,1,8,7,4,4,4,7,9,9,9,8,9,5,9,9,6,9,9,9,6,6,7,8,9,5,10,10,10,8,8,9,7,8,9,8,9,9,9,9,9,8,8,9,8,6,2,5,4,4,5,2,2,8,10,5,6,6,6,6,7,9,9,9
sf,cvs,geneur,geneur/geneur/src/core/options.cpp,clean,cpp,IssueFalse,3381,30,114,1,8,3,6,8,2,8,7,7,7,8,9,5,8,9,5,9,9,9,6,6,6,8,9,5,6,6,6,6,6,6,6,6,6,6,6,6,9,9,9,8,8,9,9,9,7,10,8,10,8,8,8,9,10,4,5,5,7,9,8,6,7,8
sf,cvs,geneur,geneur/geneur/src/core/options.h,clean,cpp,IssueFalse,3381,30,114,1,2,4,2,2,8,4,9,9,9,8,9,5,9,9,6,9,9,9,9,8,8,8,9,5,9,9,8,9,9,8,9,9,8,9,8,8,10,9,9,10,9,9,2,2,2,2,2,3,3,2,2,7,5,4,5,5,6,6,7,5,5,6
sf,cvs,geneur,geneur/geneur/src/core/res.cpp,clean,cpp,IssueFalse,3381,30,114,1,9,9,9,10,3,10,7,7,7,8,9,5,8,9,5,9,9,9,6,6,6,8,9,5,6,6,6,6,6,6,6,6,6,6,6,6,9,9,9,8,8,9,10,10,10,9,9,10,8,9,10,9,10,8,9,8,6,6,7,9,9,9
sf,cvs,geneur,geneur/geneur/src/core/res.h,clean,cpp,IssueFalse,3381,30,114,1,5,8,5,5,7,4,9,10,10,9,10,8,9,10,8,10,10,10,7,8,9,9,10,8,7,9,9,8,9,10,8,9,10,8,10,10,9,9,10,9,9,9,4,4,3,10,9,7,4,2,3,9,9,7,7,8,6,7,7,7,8,8
sf,cvs,geneur,geneur/geneur/src/core/results_saver.cpp,buggy,cpp,IssueFalse,3381,30,114,1,6,3,5,7,3,9,7,7,7,8,9,5,8,9,5,9,9,9,6,6,6,8,9,5,6,6,6,6,6,6,6,6,6,6,6,6,9,9,9,8,8,9,7,9,5,8,9,8,6,8,5,9,9,4,5,5,6,7,7,5,6,7
sf,cvs,geneur,geneur/geneur/src/core/results_saver.h,clean,cpp,IssueFalse,3381,30,114,1,2,3,1,2,8,4,9,8,8,8,9,5,9,9,6,9,9,9,9,9,9,8,9,5,7,7,7,8,8,8,8,8,8,9,8,8,9,9,9,8,8,9,2,2,2,2,2,3,3,2,2,6,5,5,6,5,5,5,5,2,4,4
sf,cvs,geneur,geneur/geneur/src/core/rmask.cpp,buggy,cpp,IssueFalse,3381,30,114,1,8,8,9,9,5,10,7,7,7,8,9,5,8,9,5,9,9,9,6,6,6,8,9,5,6,6,6,6,6,6,6,6,6,6,6,6,9,9,9,8,8,9,10,10,10,9,8,9,9,9,9,9,9,10,10,10,8,8,9,9,9,9
sf,cvs,geneur,geneur/geneur/src/core/rmask.h,clean,cpp,IssueFalse,3381,30,114,1,3,6,3,3,8,4,10,10,10,8,9,5,10,10,7,9,9,9,9,9,9,8,9,5,10,9,9,10,9,9,10,9,9,9,9,9,10,10,10,9,9,9,4,4,2,8,6,4,5,2,2,9,9,7,7,8,5,6,6,8,7,9
sf,cvs,geneur,geneur/geneur/src/core/schedule.cpp,buggy,cpp,IssueFalse,3381,30,114,1,9,9,10,10,4,10,7,7,7,8,9,5,8,9,5,9,9,9,6,6,6,8,9,5,6,6,6,6,6,6,6,6,6,6,6,6,9,9,9,8,8,9,10,10,10,8,8,10,9,10,10,10,10,8,10,10,8,9,9,8,9,9
sf,cvs,geneur,geneur/geneur/src/core/schedule.h,buggy,cpp,IssueFalse,3381,30,114,1,3,7,3,2,8,4,10,10,10,10,10,7,10,10,7,10,10,10,10,9,9,10,10,7,7,7,7,10,10,9,10,10,9,10,10,10,9,9,9,8,8,9,2,2,2,2,2,3,3,2,2,9,9,6,6,7,6,7,7,5,6,7
sf,cvs,geneur,geneur/geneur/src/core/tests.cpp,buggy,cpp,IssueFalse,3381,30,114,1,9,8,9,9,3,10,7,7,7,8,9,5,8,9,5,9,9,9,6,6,6,8,9,5,6,6,6,6,6,6,6,6,6,6,6,6,9,9,9,8,8,9,9,10,9,6,8,9,9,10,10,10,10,9,10,10,8,8,9,8,9,9
sf,cvs,geneur,geneur/geneur/src/core/tests.h,clean,cpp,IssueFalse,3381,30,114,1,4,5,4,6,6,4,9,9,9,10,10,9,10,10,8,9,9,9,8,9,10,10,10,9,7,8,8,8,8,9,8,8,9,8,9,10,9,9,9,8,8,9,4,4,3,8,7,7,4,3,3,10,9,5,7,7,5,6,7,5,6,8
sf,cvs,geneur,geneur/geneur/src/genetic/Attic/gen_alg_grid.cpp,buggy,cpp,IssueFalse,3381,30,114,1,9,8,9,8,4,10,7,7,7,8,9,5,8,9,5,9,9,9,6,6,6,8,9,5,6,6,6,6,6,6,6,6,6,6,6,6,9,9,9,8,8,9,10,10,9,10,9,10,10,10,9,9,9,9,10,9,10,10,9,8,8,8
sf,cvs,geneur,geneur/geneur/src/genetic/Attic/gen_alg_grid.h,buggy,cpp,IssueFalse,3381,30,114,1,2,4,2,2,8,4,10,10,10,9,10,7,10,10,8,9,9,9,8,9,9,9,10,7,9,9,9,8,9,8,8,9,8,8,9,9,10,10,10,8,8,9,2,2,2,2,2,3,3,2,2,5,9,3,3,3,7,7,7,8,7,7
sf,cvs,geneur,geneur/geneur/src/genetic/gen_alg.cpp,buggy,cpp,IssueFalse,3381,30,114,1,10,10,10,10,4,10,7,7,7,8,9,5,8,9,5,9,9,9,6,6,6,8,9,5,6,6,6,6,6,6,6,6,6,6,6,6,9,9,9,8,8,9,10,10,10,9,9,10,9,9,10,10,10,10,10,10,10,10,10,10,10,10
