Host,Vcs,Project,File,Buggy,PL,IssueTracking,TLOC,TNF,TNC,TND,LOC,CL,NStmt,NFunc,RCC,MNL,avg_WMC,max_WMC,total_WMC,avg_DIT,max_DIT,total_DIT,avg_RFC,max_RFC,total_RFC,avg_NOC,max_NOC,total_NOC,avg_CBO,max_CBO,total_CBO,avg_DIT.1,max_DIT.1,total_DIT.1,avg_NIV,max_NIV,total_NIV,avg_NIM,max_NIM,total_NIM,avg_NOM,max_NOM,total_NOM,avg_NPBM,max_NPBM,total_NPBM,avg_NPM,max_NPM,total_NPM,avg_NPRM,max_NPRM,total_NPRM,avg_CC,max_CC,total_CC,avg_FANIN,max_FANIN,total_FANIN,avg_FANOUT,max_FANOUT,total_FANOUT,NRev,NFix,avg_AddedLOC,max_AddedLOC,total_AddedLOC,avg_DeletedLOC,max_DeletedLOC,total_DeletedLOC,avg_ModifiedLOC,max_ModifiedLOC,total_ModifiedLOC
sf,cvs,wheat,wheat/r1/app/Attic/blog-test.cpp,clean,cpp,IssueTrue,21040,73,1777,3,7,2,6,5,1,4,7,7,7,10,10,9,9,6,7,10,10,10,7,7,8,10,10,9,8,7,8,6,7,7,6,6,7,6,7,7,9,9,9,8,8,9,3,3,3,3,4,4,9,8,6,8,10,6,6,7,9,10,10,7,7,8
sf,cvs,wheat,wheat/r1/app/farm.cpp,buggy,cpp,IssueTrue,21040,73,1777,3,2,1,2,3,4,4,7,7,7,8,9,5,8,4,5,9,9,9,6,6,6,8,9,5,6,6,6,6,6,6,6,6,6,6,6,6,9,9,9,8,8,9,7,4,2,2,2,2,10,8,4,2,5,3,3,3,7,6,6,5,4,4
sf,cvs,wheat,wheat/r1/grammar/ScriptLexer-test.cpp,buggy,cpp,IssueTrue,21040,73,1777,3,8,3,5,6,1,6,7,7,7,9,10,7,8,4,5,9,9,9,6,6,6,9,10,7,10,10,10,6,6,6,6,6,6,6,6,6,9,9,9,8,8,9,4,4,4,7,7,7,4,5,5,3,9,4,4,4,6,6,6,3,3,4
sf,cvs,wheat,wheat/r1/grammar/ScriptLexer.cpp,buggy,cpp,IssueTrue,21040,73,1777,3,10,10,10,9,4,10,7,7,7,8,9,5,8,4,5,9,9,9,6,6,6,8,9,5,6,6,6,6,6,6,6,6,6,6,6,6,9,9,9,8,8,9,10,10,10,6,5,9,9,10,10,2,8,3,3,3,4,4,4,1,1,2
sf,cvs,wheat,wheat/r1/server/mod_file.cxx,clean,cpp,IssueTrue,21040,73,1777,3,6,7,7,4,4,9,10,9,9,8,9,5,9,5,6,9,9,9,7,7,7,8,9,5,9,8,8,8,8,7,8,7,7,7,7,7,10,10,10,8,8,9,9,7,6,7,6,5,10,9,7,2,5,9,7,6,4,4,4,9,7,6
sf,cvs,wheat,wheat/r1/server/mod_raw.cpp,clean,cpp,IssueTrue,21040,73,1777,3,8,5,8,6,2,6,8,9,9,9,10,8,9,6,6,9,9,9,7,8,8,9,10,8,9,9,10,7,9,8,7,9,8,6,7,7,9,9,9,10,10,10,8,6,7,5,6,7,8,8,8,3,8,4,4,4,7,6,6,10,9,8
sf,cvs,wheat,wheat/r1/server/mod_render-test.cpp,buggy,cpp,IssueTrue,21040,73,1777,3,9,2,8,9,1,4,7,7,7,9,10,9,9,6,7,9,9,9,7,8,9,9,10,9,6,6,6,6,7,7,6,6,7,6,7,8,9,9,9,8,8,9,3,4,6,2,5,6,9,7,10,6,9,10,9,9,5,5,5,7,6,7
sf,cvs,wheat,wheat/r1/server/mod_render.cpp,buggy,cpp,IssueTrue,21040,73,1777,3,7,1,7,7,1,6,8,8,8,10,10,8,9,8,7,9,9,9,7,7,8,10,10,8,9,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,5,5,6,6,7,8,7,8,8,6,9,9,9,9,6,6,7,9,9,8
sf,cvs,wheat,wheat/r1/server/mod_render.hpp,buggy,cpp,IssueTrue,21040,73,1777,3,2,1,2,3,4,2,8,8,8,10,10,8,9,6,7,10,10,10,8,8,9,10,10,8,6,6,6,9,9,9,9,8,9,9,9,9,9,9,9,8,8,9,3,3,2,2,2,2,2,2,2,2,5,3,3,3,4,4,4,5,4,4
sf,cvs,wheat,wheat/r1/server/request.cxx,buggy,cpp,IssueTrue,21040,73,1777,3,9,8,9,9,2,10,7,7,7,8,9,5,8,4,5,9,9,9,6,6,6,8,9,5,6,6,6,6,6,6,6,6,6,6,6,6,9,9,9,8,8,9,7,8,8,6,6,9,6,9,9,2,5,3,3,3,8,7,7,3,3,3
